clust_id,clust_rep,new_Kingdom,new_Phylum,new_Class,new_Order,new_Family,new_Genus,new_Species,problematic_tax
13301,HQ395203.1.1494,Bacteria,Firmicutes,Clostridia,Clostridiales,uncultured/Lachnospiraceae,bacterium enrichment culture clone ecb9/uncultured,bacterium enrichment culture clone ecb9uncultured ecb9/ecb12(2),Disc.Fam_uncultured/Lachnospiraceae(2)
1332,AY530552.1.1527,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae/Gallionellaceae,Propionivibrio/Sideroxydans/Dechlorosoma/Candidatus Accumulibacter,PropionivibrioSideroxydansDechlorosomaCandidatus Accumulibacter Ambiguous_taxa/bacterium/proteobacterium(3),Disc.Fam_Rhodocyclaceae/Gallionellaceae(2)
13323,HQ405739.1.925,Archaea,Euryarchaeota,Thermoplasmata,Marine Benthic Group D and DHVEG-1,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxauncultured archaeon Ambiguous_taxa/archaeon(2),Disc.Fam_Ambiguous_taxa/uncultured archaeon(2)
13350,HQ597079.1.1506,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured bacterium(2)
13359,HQ597864.1.1508,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium/Ambiguous_taxa,uncultured Acidobacteria bacterium/Ambiguous_taxa,uncultured Acidobacteria bacterium/Ambiguous_taxa,uncultured Acidobacteria bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Ord_uncultured Acidobacteria bacterium/Ambiguous_taxa(2)
13364,HQ598287.1.1510,Bacteria,Acidobacteria,Subgroup 6,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxauncultured Acidobacteria bacterium Ambiguous_taxa/bacterium(2),Disc.Ord_Ambiguous_taxa/uncultured Acidobacteria bacterium(2)
13379,HQ602853.1.1252,Bacteria,Patescibacteria,WS6 (Dojkabacteria),bacterium enrichment culture clone E2/bacterium enrichment culture clone E1,bacterium enrichment culture clone E2/bacterium enrichment culture clone E1,bacterium enrichment culture clone E2/bacterium enrichment culture clone E1,bacterium enrichment culture clone E2bacterium enrichment culture clone E1 E2/E1(2),Disc.Ord_bacterium enrichment culture clone E2/bacterium enrichment culture clone E1(2)
13388,HQ664631.16745.18231,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/Pardosa pseudoannulata,Ambiguous_taxa/Pardosa pseudoannulata,Ambiguous_taxaPardosa pseudoannulata Ambiguous_taxa/pseudoannulata(2),Disc.Fam_Ambiguous_taxa/Pardosa pseudoannulata(2)
13393,HQ671861.1.1444,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured bacterium/Ambiguous_taxa(2)
13410,HQ672651.1.1436,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I/Clade II,uncultured/uncultured bacterium,uncultureduncultured bacterium bacterium(1),Disc.Fam_Clade I/Clade II(2)
13413,HQ672678.1.1521,Bacteria,Planctomycetes,Pla3 lineage,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Ord_uncultured bacterium/Ambiguous_taxa(2)
13419,HQ672996.1.1436,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade II/Clade I,Ambiguous_taxa/uncultured,Ambiguous_taxauncultured Ambiguous_taxa/bacterium(2),Disc.Fam_Clade II/Clade I(2)
13426,HQ673549.1.1510,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium/marine metagenome,uncultured bacterium/marine metagenome,uncultured bacterium/marine metagenome,uncultured bacterium/marine metagenome,uncultured bacteriummarine metagenome bacterium/metagenome(2),Disc.Class_)uncultured bacterium/marine metagenome(2)
13431,HQ673814.1.1447,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I/Clade II,uncultured/uncultured bacterium,uncultureduncultured bacterium bacterium(1),Disc.Fam_Clade I/Clade II(2)
13433,HQ673835.1.1524,Bacteria,Marinimicrobia (SAR406 clade),uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Class_)uncultured bacterium/Ambiguous_taxa(2)
13434,HQ673898.1.1436,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11 clade,Clade I/Clade II,uncultured/uncultured bacterium,uncultureduncultured bacterium bacterium(1),Disc.Fam_Clade I/Clade II(2)
13444,HQ674271.1.1518,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353 marine group,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured bacterium/Ambiguous_taxa(2)
13492,HQ729781.1.1520,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium/Ambiguous_taxa,uncultured Acidobacteria bacterium/Ambiguous_taxa,uncultured Acidobacteria bacterium/Ambiguous_taxa,uncultured Acidobacteria bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Ord_uncultured Acidobacteria bacterium/Ambiguous_taxa(2)
1360,CZCB01000884.131.1652,Bacteria,Firmicutes,Clostridia,DTU014,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
13769,JF344122.1.1440,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured cyanobacterium/Ambiguous_taxa,uncultured cyanobacterium/Ambiguous_taxa,uncultured cyanobacteriumAmbiguous_taxa cyanobacterium/Ambiguous_taxa(2),Disc.Fam_uncultured cyanobacterium/Ambiguous_taxa(2)
13838,JF715369.1.913,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote/uncultured marine archaeon,uncultured marine group II euryarchaeote/uncultured marine archaeon,uncultured marine group II euryarchaeoteuncultured marine archaeon euryarchaeote/archaeon(2),Disc.Fam_uncultured marine group II euryarchaeote/uncultured marine archaeon(2)
13854,JF769495.1.1488,Bacteria,Proteobacteria,Alphaproteobacteria,Ambiguous_taxa/uncultured,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium bacterium(1),Disc.Ord_Ambiguous_taxa/uncultured(2)
13885,JF833866.1.1503,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,SC-I-84/A21b,uncultured beta proteobacterium,uncultured beta proteobacterium proteobacterium(1),Disc.Fam_SC-I-84/A21b(2)
13935,JN002780.1.1282,Bacteria,Chloroflexi,Anaerolineae,SBR1031,uncultured Gemmatimonadetes bacterium/uncultured bacterium,uncultured Gemmatimonadetes bacterium/uncultured bacterium,uncultured Gemmatimonadetes bacteriumuncultured bacterium bacterium(1),Disc.Fam_uncultured Gemmatimonadetes bacterium/uncultured bacterium(2)
1394,EU510426.1.1398,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Roseburia/Ruminococcus 1,RoseburiaRuminococcus 1 bacterium(1),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
13946,JN023529.1.1488,Bacteria,Acidobacteria,Acidobacteriia,Subgroup 2,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxa/uncultured Acidobacteria bacterium,Ambiguous_taxauncultured Acidobacteria bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured Acidobacteria bacterium(2)
13947,JN023607.1.1457,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
1396,EU686639.15750.17219,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine group II euryarchaeote KM3-130-D10/Ambiguous_taxa/uncultured marine archaeon,uncultured marine group II euryarchaeote KM3-130-D10/Ambiguous_taxa/uncultured marine archaeon,uncultured marine group II euryarchaeote KM3-130-D10Ambiguous_taxauncultured marine archaeon KM3-130-D10/Ambiguous_taxa/archaeon(3),Disc.Fam_uncultured marine group II euryarchaeote KM3-130-D10/Ambiguous_taxa/uncultured marine archaeon(3)
13968,JN037855.1.1515,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacteriumuncultured bacterium bacterium(1),Disc.Ord_uncultured Acidobacteria bacterium/uncultured bacterium(2)
1398,EU794246.1.1441,Bacteria,Firmicutes,Clostridia,Clostridiales,Christensenellaceae/Ruminococcaceae,Christensenellaceae R-7 group/Ruminococcaceae UCG-011,Christensenellaceae R-7 groupRuminococcaceae UCG-011 bacterium(1),Disc.Fam_Christensenellaceae/Ruminococcaceae(2)
13984,JN090886.1.1796,Eukaryota,SAR,Stramenopiles,MAST-2,Ambiguous_taxa/uncultured eukaryote,Ambiguous_taxa/uncultured eukaryote,Ambiguous_taxauncultured eukaryote Ambiguous_taxa/eukaryote(2),Disc.Fam_Ambiguous_taxa/uncultured eukaryote(2)
1399,EU800939.1.1503,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured bacterium/Ambiguous_taxa(2)
13997,JN166273.1.1496,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxa/uncultured marine bacterium,Ambiguous_taxauncultured marine bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured marine bacterium(2)
13999,JN166313.1.1531,Bacteria,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4 marine group,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
140,FPLM01005901.3.1461,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales/Methanomicrobiales,Methanosaetaceae/Ambiguous_taxa/Methanomicrobiaceae/Methanosarcinaceae,Methanosaeta/Ambiguous_taxa/Methanomicrobium/uncultured,MethanosaetaAmbiguous_taxaMethanomicrobiumuncultured Ambiguous_taxa/archaeon/sp.(3),Disc.Ord_Methanosarcinales/Methanomicrobiales(2)
1403,FJ545636.1.1509,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),Ambiguous_taxa/uncultured bacterium/uncultured organism/uncultured marine bacterium,Ambiguous_taxa/uncultured bacterium/uncultured organism/uncultured marine bacterium,Ambiguous_taxauncultured bacteriumuncultured organismuncultured marine bacterium Ambiguous_taxa/bacterium/organism(3),Disc.Fam_Ambiguous_taxa/uncultured bacterium/uncultured organism/uncultured marine bacterium(4)
14109,JN438883.1.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales/MBMPE27,Beggiatoaceae/uncultured organism,Beggiatoa/uncultured organism,Beggiatoauncultured organism organism(1),Disc.Ord_Beggiatoales/MBMPE27(2)
1414,FN563292.1.1518,Bacteria,Cloacimonetes,Cloacimonadia,Cloacimonadales,W27/Cloacimonadaceae,uncultured bacterium/Candidatus Cloacimonas,uncultured bacteriumCandidatus Cloacimonas bacterium(1),Disc.Fam_W27/Cloacimonadaceae(2)
1415,FN646068.1.1514,Bacteria,Firmicutes/Proteobacteria,Bacilli/Gammaproteobacteria,Bacillales/Enterobacteriales,Staphylococcaceae/Enterobacteriaceae,Staphylococcus/Escherichia-Shigella,StaphylococcusEscherichia-Shigella saprophyticus/Ambiguous_taxa/sp.(3),Disc.Phy_)Firmicutes/Proteobacteria(2)
14263,JN492918.1.1466,Bacteria,Acidobacteria/Dependentiae,d142/Babeliae,uncultured organism/Babeliales,uncultured organism,uncultured organism,uncultured organism organism(1),Disc.Phy_)Acidobacteria/Dependentiae(2)
14316,JN524101.1.1410,Bacteria,Dependentiae/Acidobacteria,Babeliae/d142,Babeliales/uncultured organism,uncultured organism,uncultured organism,uncultured organism organism(1),Disc.Phy_)Dependentiae/Acidobacteria(2)
1435,GQ402101.1.1520,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae/Christensenellaceae,Ruminococcaceae UCG-011/Christensenellaceae R-7 group,Ruminococcaceae UCG-011Christensenellaceae R-7 group bacterium/Ambiguous_taxa(2),Disc.Fam_Ruminococcaceae/Christensenellaceae(2)
14353,JN563805.1.948,Archaea,Thaumarchaeota,Marine Benthic Group A,uncultured marine crenarchaeote/Ambiguous_taxa,uncultured marine crenarchaeote/Ambiguous_taxa,uncultured marine crenarchaeote/Ambiguous_taxa,uncultured marine crenarchaeoteAmbiguous_taxa crenarchaeote/Ambiguous_taxa(2),Disc.Ord_uncultured marine crenarchaeote/Ambiguous_taxa(2)
14354,JN575264.1.1414,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae/uncultured bacterium,Roseomonas/uncultured bacterium,Roseomonasuncultured bacterium soli/bacterium(2),Disc.Fam_Acetobacteraceae/uncultured bacterium(2)
14356,JN591895.1.1502,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86 clade,Ambiguous_taxa/uncultured gamma proteobacterium,Ambiguous_taxa/uncultured gamma proteobacterium,Ambiguous_taxauncultured gamma proteobacterium Ambiguous_taxa/proteobacterium(2),Disc.Fam_Ambiguous_taxa/uncultured gamma proteobacterium(2)
14357,JN591987.1.1434,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,Ambiguous_taxa/uncultured marine archaeon,Ambiguous_taxa/uncultured marine archaeon,Ambiguous_taxauncultured marine archaeon Ambiguous_taxa/archaeon(2),Disc.Fam_Ambiguous_taxa/uncultured marine archaeon(2)
14362,JN596676.1.1383,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,uncultured Chloroflexi bacterium/Ambiguous_taxa,uncultured Chloroflexi bacterium/Ambiguous_taxa,uncultured Chloroflexi bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured Chloroflexi bacterium/Ambiguous_taxa(2)
14363,JN596680.1.1393,Bacteria,Chloroflexi,Dehalococcoidia,SAR202 clade,Ambiguous_taxa/uncultured Chloroflexi bacterium,Ambiguous_taxa/uncultured Chloroflexi bacterium,Ambiguous_taxauncultured Chloroflexi bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured Chloroflexi bacterium(2)
14373,JN615713.1.1324,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium/uncultured alpha proteobacterium,uncultured bacterium/uncultured alpha proteobacterium,uncultured bacteriumuncultured alpha proteobacterium bacterium/proteobacterium(2),Disc.Fam_uncultured bacterium/uncultured alpha proteobacterium(2)
14409,JN672630.1.1465,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales/BD7-8,Arenicellaceae/uncultured bacterium,uncultured/uncultured bacterium,uncultureduncultured bacterium proteobacterium/bacterium(2),Disc.Ord_Arenicellales/BD7-8(2)
14451,JN860354.1.1493,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
1446,HQ672225.1.1458,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium/uncultured marine eukaryote/uncultured cyanobacterium/uncultured marine bacterium,uncultured bacterium/uncultured marine eukaryote/uncultured cyanobacterium/uncultured marine bacterium,uncultured bacteriumuncultured marine eukaryoteuncultured cyanobacteriumuncultured marine bacterium bacterium/eukaryote/cyanobacterium(3),Disc.Fam_uncultured bacterium/uncultured marine eukaryote/uncultured cyanobacterium/uncultured marine bacterium(4)
14492,JN977349.1.1558,Bacteria,Proteobacteria,Deltaproteobacteria,Sva0485,Ambiguous_taxa/uncultured delta proteobacterium,Ambiguous_taxa/uncultured delta proteobacterium,Ambiguous_taxauncultured delta proteobacterium Ambiguous_taxa/proteobacterium(2),Disc.Fam_Ambiguous_taxa/uncultured delta proteobacterium(2)
14501,JN986128.1.1447,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/uncultured marine eukaryote,Ambiguous_taxa/uncultured marine eukaryote,Ambiguous_taxauncultured marine eukaryote Ambiguous_taxa/eukaryote(2),Disc.Fam_Ambiguous_taxa/uncultured marine eukaryote(2)
14502,JN986134.1.1461,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/uncultured marine eukaryote,Ambiguous_taxa/uncultured marine eukaryote,Ambiguous_taxauncultured marine eukaryote Ambiguous_taxa/eukaryote(2),Disc.Fam_Ambiguous_taxa/uncultured marine eukaryote(2)
14504,JN986416.1.1450,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Fam_Ambiguous_taxa/uncultured bacterium(2)
14532,JQ013153.1.1445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium/Ambiguous_taxa,uncultured bacterium/Ambiguous_taxa,uncultured bacteriumAmbiguous_taxa bacterium/Ambiguous_taxa(2),Disc.Fam_uncultured bacterium/Ambiguous_taxa(2)
14710,JQ222198.1.916,Archaea,Euryarchaeota,Thermoplasmata,Marine Group III,uncultured marine archaeon/Ambiguous_taxa,uncultured marine archaeon/Ambiguous_taxa,uncultured marine archaeonAmbiguous_taxa archaeon/Ambiguous_taxa(2),Disc.Fam_uncultured marine archaeon/Ambiguous_taxa(2)
14711,JQ222210.1.914,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine archaeon/uncultured archaeon,uncultured marine archaeon/uncultured archaeon,uncultured marine archaeonuncultured archaeon archaeon(1),Disc.Fam_uncultured marine archaeon/uncultured archaeon(2)
14712,JQ225143.1.1337,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,Ambiguous_taxa/uncultured marine archaeon,Ambiguous_taxa/uncultured marine archaeon,Ambiguous_taxauncultured marine archaeon Ambiguous_taxa/archaeon(2),Disc.Fam_Ambiguous_taxa/uncultured marine archaeon(2)
14713,JQ226616.1.1299,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,Ambiguous_taxa/uncultured marine group II euryarchaeote,Ambiguous_taxa/uncultured marine group II euryarchaeote,Ambiguous_taxauncultured marine group II euryarchaeote Ambiguous_taxa/euryarchaeote(2),Disc.Fam_Ambiguous_taxa/uncultured marine group II euryarchaeote(2)
1472,JQ224967.1.1356,Archaea,Euryarchaeota,Thermoplasmata,Marine Group II,uncultured marine archaeon/Ambiguous_taxa,uncultured marine archaeon/Ambiguous_taxa,uncultured marine archaeonAmbiguous_taxa archaeon/Ambiguous_taxa(2),Disc.Fam_uncultured marine archaeon/Ambiguous_taxa(2)
14727,JQ247307.1.1742,Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Ambiguous_taxa/Chlorophyceae,Ambiguous_taxa/Chlamydomonas sp. 1 ZL-2012,Ambiguous_taxaChlamydomonas sp. 1 ZL-2012 Ambiguous_taxa/ZL-2012(2),Disc.Fam_Ambiguous_taxa/Chlorophyceae(2)
14733,JQ258686.1.943,Archaea,Crenarchaeota,Bathyarchaeia,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxauncultured archaeon Ambiguous_taxa/archaeon(2),Disc.Ord_Ambiguous_taxa/uncultured archaeon(2)
14756,JQ356818.1.1445,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,Ambiguous_taxa/Cryptoglena skujai,Ambiguous_taxa/Cryptoglena skujai,Ambiguous_taxaCryptoglena skujai Ambiguous_taxa/skujai(2),Disc.Fam_Ambiguous_taxa/Cryptoglena skujai(2)
14770,JQ420114.1.1770,Eukaryota,Archaeplastida,Chloroplastida,Chlorophyta,Chlorophyceae/Sphaeropleales,uncultured phytoplankton/Ankistrodesmus,uncultured phytoplanktonAnkistrodesmus phytoplankton/nannoselene(2),Disc.Fam_Chlorophyceae/Sphaeropleales(2)
14782,JQ427201.1.1446,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium/uncultured Acetobacteraceae bacterium,uncultured bacterium/uncultured Acetobacteraceae bacterium,uncultured bacteriumuncultured Acetobacteraceae bacterium bacterium(1),Disc.Fam_uncultured bacterium/uncultured Acetobacteraceae bacterium(2)
14906,JQ474619.1.1338,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,uncultured bacterium/Candidatus Saccharibacteria bacterium UB2523,uncultured bacterium/Candidatus Saccharibacteria bacterium UB2523,uncultured bacteriumCandidatus Saccharibacteria bacterium UB2523 bacterium/UB2523(2),Disc.Fam_uncultured bacterium/Candidatus Saccharibacteria bacterium UB2523(2)
14948,JQ611162.1.1373,Bacteria,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae/Sulfurovaceae,uncultured bacterium/Sulfurovum,uncultured bacteriumSulfurovum bacterium(1),Disc.Fam_Nitratiruptoraceae/Sulfurovaceae(2)
14983,JQ678368.1.1476,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured bacterium/uncultured organism,uncultured bacterium/uncultured organism,uncultured bacteriumuncultured organism bacterium/organism(2),Disc.Fam_uncultured bacterium/uncultured organism(2)
14985,JQ678385.1.1530,Bacteria,Marinimicrobia (SAR406 clade),Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Class_)Ambiguous_taxa/uncultured bacterium(2)
14986,JQ678400.1.1529,Bacteria,Marinimicrobia (SAR406 clade),Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxa/uncultured bacterium,Ambiguous_taxauncultured bacterium Ambiguous_taxa/bacterium(2),Disc.Class_)Ambiguous_taxa/uncultured bacterium(2)
15,CYYV01000001.321800.323312,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae/Ruminococcaceae,Fusicatenibacter/[Ruminococcus] gauvreauii group/Blautia/Lachnospiraceae UCG-008/[Eubacterium] coprostanoligenes group,Fusicatenibacter[Ruminococcus] gauvreauii groupBlautiaLachnospiraceae UCG-008[Eubacterium] coprostanoligenes group saccharivorans/A21/bacterium/Ambiguous_taxa/organism(5),Disc.Fam_Lachnospiraceae/Ruminococcaceae(2)
15004,JQ723634.1.1501,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae/Hydrogenophilaceae,uncultured/Thiobacillus,unculturedThiobacillus sp./bacterium(2),Disc.Fam_Rhodocyclaceae/Hydrogenophilaceae(2)
15019,JQ769663.1.1491,Bacteria,Acidobacteria,Subgroup 5,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacterium/uncultured Acidobacteria bacterium,uncultured bacteriumuncultured Acidobacteria bacterium bacterium(1),Disc.Ord_uncultured bacterium/uncultured Acidobacteria bacterium(2)
15086,JQ861366.1.1461,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae/Ambiguous_taxa,uncultured/Ambiguous_taxa,unculturedAmbiguous_taxa proteobacterium/bacterium(2),Disc.Fam_Xanthobacteraceae/Ambiguous_taxa(2)
15118,JQ977326.1.1421,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae/Dermatophilaceae,Arthrobacter/uncultured,Arthrobacteruncultured Ambiguous_taxa/bacterium(2),Disc.Fam_Micrococcaceae/Dermatophilaceae(2)
1515,KR029378.1.1523,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae/Planococcaceae,Bacillus/Lysinibacillus,BacillusLysinibacillus X10-2F/Ambiguous_taxa/RD_MOPEP_12/sp./TS51(2011)/bacterium(6),Disc.Fam_Bacillaceae/Planococcaceae(2)
15173,JX000757.1.1424,Archaea,Asgardaeota/Crenarchaeota,Lokiarchaeia/Bathyarchaeia,uncultured archaeon,uncultured archaeon,uncultured archaeon,uncultured archaeon archaeon(1),Disc.Phy_)Asgardaeota/Crenarchaeota(2)
15174,JX000834.1.1402,Archaea,Euryarchaeota,Thermoplasmata,SG8-5,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxa/uncultured archaeon,Ambiguous_taxauncultured archaeon Ambiguous_taxa/archaeon(2),Disc.Fam_Ambiguous_taxa/uncultured archaeon(2)
15225,JX105551.1.1451,Bacteria,Cyanobacteria,Oxyphotobacteria,Chloroplast,uncultured bacterium/uncultured cyanobacterium,uncultured bacterium/uncultured cyanobacterium,uncultured bacteriumuncultured cyanobacterium bacterium/cyanobacterium(2),Disc.Fam_uncultured bacterium/uncultured cyanobacterium(2)
15228,JX114381.1.1509,Bacteria,Acidobacteria,Subgroup 6,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacterium/uncultured bacterium,uncultured Acidobacteria bacteriumuncultured bacterium bacterium(1),Disc.Ord_uncultured Acidobacteria bacterium/uncultured bacterium(2)
15238,JX120490.1.1482,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidetes VC2.1 Bac22,uncultured bacterium/sediment metagenome,uncultured bacterium/sediment metagenome,uncultured bacteriumsediment metagenome bacterium/metagenome(2),Disc.Fam_uncultured bacterium/sediment metagenome(2)
15251,JX133532.1.1509,Bacteria,Actinobacteria,Thermoleophilia,Gaiellales,Gaiellaceae/uncultured,Gaiella/uncultured bacterium,Gaiellauncultured bacterium bacterium(1),Disc.Fam_Gaiellaceae/uncultured(2)
15291,JX222464.1.1390,Bacteria,Proteobacteria/Firmicutes,Gammaproteobacteria/Clostridia,Pseudomonadales/Clostridiales,Moraxellaceae/Lachnospiraceae,Acinetobacter/uncultured,Acinetobacteruncultured bacterium(1),Disc.Phy_)Proteobacteria/Firmicutes(2)
15300,JX222789.1.1490,Bacteria,Proteobacteria/Bacteroidetes,Gammaproteobacteria/Bacteroidia,Betaproteobacteriales/Chitinophagales,Burkholderiaceae/Chitinophagaceae,Massilia/uncultured,Massiliauncultured bacterium(1),Disc.Phy_)Proteobacteria/Bacteroidetes(2)
